id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
109,3.005000e-07,-3.061502e-01,1.256142e-01,1.339208e-01,-4.036350e-01,-1.605961e-03,-9.149187e-01,1.000000e+00
110,3.005000e-07,2.384385e-01,-1.629673e-02,2.332308e-01,-7.002660e-01,2.197569e-04,7.138819e-01,9.999999e-01
111,3.005000e-07,1.660101e-01,-1.127835e-02,-2.911288e-01,8.673205e-01,2.689364e-05,4.977501e-01,1.000000e+00
112,3.005000e-07,7.877959e-03,-2.670932e-02,3.331932e-01,-9.997003e-01,4.885218e-04,2.447462e-02,1.000000e+00
113,3.005000e-07,-2.022138e-01,-6.112108e-03,-2.673925e-01,7.965673e-01,-1.173961e-04,-6.045499e-01,1.000000e+00
114,3.005000e-07,1.093793e-02,-9.355748e-03,-3.352192e-01,9.994041e-01,-2.964466e-05,3.451642e-02,1.000000e+00
115,3.005000e-07,-2.854179e-01,-3.532571e-03,-1.757677e-01,5.226448e-01,-1.756993e-04,-8.525505e-01,1.000000e+00
116,3.005000e-07,-1.395650e-03,-1.683570e-02,3.339634e-01,-9.999957e-01,2.739079e-04,-2.913159e-03,1.000000e+00
117,3.005000e-07,2.800527e-01,-1.302066e-02,-1.836943e-01,5.462515e-01,8.379769e-05,8.376212e-01,1.000000e+00
118,3.005000e-07,2.869109e-01,-1.314523e-02,-1.722040e-01,5.116157e-01,8.824071e-05,8.592144e-01,1.000000e+00
119,3.005000e-07,1.586128e-01,-1.133044e-02,-2.953939e-01,8.803586e-01,2.665580e-05,4.743087e-01,1.000000e+00
120,3.005000e-07,-3.042102e-01,1.084730e-01,1.379201e-01,-4.160056e-01,-1.441616e-03,-9.093609e-01,1.000000e+00
121,3.005000e-07,2.879226e-02,-1.725603e-02,3.321649e-01,-9.962155e-01,2.785872e-04,8.691680e-02,1.000000e+00
122,3.005000e-07,3.281533e-01,-1.428014e-02,-6.314137e-02,1.855937e-01,1.277221e-04,9.826266e-01,1.000000e+00
123,3.005000e-07,-3.233530e-01,3.680355e-03,8.341310e-02,-2.524738e-01,-3.163762e-04,-9.676037e-01,1.000000e+00
124,3.005000e-07,1.035257e-02,-3.252096e-02,3.333703e-01,-9.994814e-01,6.293507e-04,3.219406e-02,1.000000e+00
125,3.005000e-07,3.006729e-01,-1.348047e-02,-1.460789e-01,4.340408e-01,9.978386e-05,9.008932e-01,1.000000e+00
126,3.005000e-07,-1.909105e-01,-5.958657e-03,-2.756975e-01,8.219080e-01,-1.174995e-04,-5.696202e-01,1.000000e+00
127,3.005000e-07,9.303214e-03,-1.721087e-02,3.332872e-01,-9.995834e-01,2.808575e-04,2.886028e-02,1.000000e+00
128,3.005000e-07,2.938767e-01,-1.572970e-02,1.576349e-01,-4.752315e-01,1.926298e-04,8.798607e-01,9.999999e-01
129,3.005000e-07,-4.492777e-02,-8.585067e-03,-3.322244e-01,9.909953e-01,-5.135591e-05,-1.338969e-01,1.000000e+00
130,3.005000e-07,2.435289e-01,-1.619992e-02,2.281688e-01,-6.850885e-01,2.158701e-04,7.284598e-01,1.000000e+00
131,3.005000e-07,-2.586624e-01,-4.954972e-03,-2.132892e-01,6.343298e-01,-1.466073e-04,-7.730625e-01,1.000000e+00
