id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
157,3.005000e-07,2.508931e-01,1.856801e-03,-2.216225e-01,6.595453e-01,-1.662312e-04,7.516648e-01,1.000000e+00
158,3.005000e-07,4.538432e-02,6.042016e-03,-3.322971e-01,9.906556e-01,-2.600174e-04,1.363869e-01,1.000000e+00
159,3.005000e-07,1.099247e-01,5.085930e-03,-3.166500e-01,9.439283e-01,-2.380375e-04,3.301505e-01,1.000000e+00
160,3.005000e-07,-2.615036e-01,1.434803e-02,-2.093554e-01,6.234570e-01,-4.159570e-04,-7.818575e-01,1.000000e+00
161,3.005000e-07,-1.419916e-02,7.541383e-03,-3.350964e-01,9.991618e-01,-2.893982e-04,-4.093473e-02,1.000000e+00
162,3.005000e-07,2.459668e-01,2.243391e-03,-2.271289e-01,6.762353e-01,-1.737807e-04,7.366857e-01,1.000000e+00
163,3.005000e-07,8.343336e-02,5.408679e-03,-3.248370e-01,9.680017e-01,-2.457738e-04,2.509435e-01,1.000000e+00
164,3.005000e-07,2.810283e-01,9.546256e-04,-1.819041e-01,5.407089e-01,-1.458450e-04,8.412098e-01,1.000000e+00
165,3.005000e-07,-7.114997e-02,8.409741e-03,-3.277189e-01,9.771814e-01,-3.086361e-04,-2.124063e-01,1.000000e+00
166,3.005000e-07,-2.507504e-01,1.361797e-02,-2.228590e-01,6.633834e-01,-4.045418e-04,-7.482795e-01,1.000000e+00
167,3.005000e-07,2.063578e-01,2.846116e-03,-2.638564e-01,7.862636e-01,-1.901628e-04,6.178912e-01,1.000000e+00
168,3.005000e-07,2.654936e-01,1.583680e-03,-2.038092e-01,6.063592e-01,-1.588576e-04,7.951908e-01,1.000000e+00
169,3.005000e-07,3.045766e-01,5.289909e-04,-1.385879e-01,4.114260e-01,-1.328189e-04,9.114432e-01,1.000000e+00
170,3.005000e-07,-1.504378e-01,1.033243e-02,-2.998628e-01,8.939008e-01,-3.452962e-04,-4.482647e-01,1.000000e+00
